Fe,Ni,Co,Cr,Mn,C,Mo,Si,Cu,Al,W,V,Ti,Nb,Tensile Strength: Ultimate (UTS) (psi),compositional_sum_flag
67.95,9.0,0.0,18.0,1.0,0.015,0.0,0.5,3.5,0.0,0.0,0.0,0.0,0.0,530.0,PASS
70.3,9.25,0.0,19.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
69.5,10.0,0.0,19.0,1.0,0.015,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
69.45,10.0,0.0,19.0,1.0,0.015,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
70.15,9.25,0.0,19.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
68.8,11.75,0.0,18.0,1.0,0.06,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
67.55,11.0,0.0,20.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
67.15,10.0,0.0,20.75,1.75,0.04,0.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
62.0,13.5,0.0,23.0,1.0,0.1,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
61.0,14.0,0.0,23.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.55,580.0,PASS
62.05,13.5,0.0,23.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
61.0,14.0,0.0,23.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.55,590.0,PASS
62.05,13.5,0.0,23.0,1.0,0.04,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
52.6,20.5,0.0,25.0,1.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
52.1,20.5,0.0,25.0,1.0,0.04,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.55,580.0,PASS
53.05,20.5,0.0,25.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
52.5,20.5,0.0,25.0,1.0,0.07,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.55,590.0,PASS
49.5,22.0,0.0,25.0,1.0,0.01,2.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,610.0,PASS
52.65,20.5,0.0,25.0,1.0,0.04,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
65.7,6.0,0.0,25.0,1.0,0.015,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,780.0,PASS
51.6,20.5,0.0,24.5,1.0,0.125,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
67.0,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
66.45,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.55,580.0,PASS
67.05,12.0,0.0,17.0,1.0,0.07,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,580.0,PASS
67.0,12.0,0.0,17.0,1.0,0.015,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
66.95,12.0,0.0,17.0,1.0,0.015,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,590.0,PASS
66.9,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
66.65,12.0,0.0,17.0,1.0,0.04,2.5,0.375,0.0,0.0,0.0,0.0,0.35,0.0,580.0,PASS
63.0,13.0,0.0,19.0,1.0,0.04,3.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,652.4829777576033,PASS
